,k,p,q,run_id,param,param_out,param_pos,input,output,diff
696,2,2,3,3,theta,theta_out,0,0.3684885595820183,0.3585813782417019,0.009907181340316429
697,2,2,3,3,theta,theta_out,1,-0.2996602661310563,-0.3088549418175885,0.009194675686532205
698,2,2,3,3,theta,theta_out,2,-0.6721011186647013,-0.6737847124624131,0.0016835937977117688
692,2,2,4,0,theta,theta_out,0,-0.01636769603977062,0.011797599686986205,-0.02816529572675682
693,2,2,4,0,theta,theta_out,1,-0.2592493055722816,-0.288544192263856,0.02929488669157443
694,2,2,4,0,theta,theta_out,2,-0.21167692200172902,-0.21073834306199737,-0.0009385789397316491
695,2,2,4,0,theta,theta_out,3,0.10874451977323767,0.11256931694939165,-0.003824797176153985
688,2,2,4,1,theta,theta_out,0,1.167117856731379,1.1556283453636458,0.01148951136773313
689,2,2,4,1,theta,theta_out,1,0.6013286052275356,0.5892327569898886,0.012095848237646978
690,2,2,4,1,theta,theta_out,2,0.8834320657981518,0.8888266766693541,-0.005394610871202299
691,2,2,4,1,theta,theta_out,3,0.5053552685531982,0.5122509251075914,-0.00689565655439317
684,2,2,4,2,theta,theta_out,0,0.32726848004198394,0.35071268132402195,-0.023444201282038002
685,2,2,4,2,theta,theta_out,1,0.12496235472447638,0.11568528414747146,0.009277070577004914
686,2,2,4,2,theta,theta_out,2,-0.08448350823730705,-0.08121081415620553,-0.003272694081101521
687,2,2,4,2,theta,theta_out,3,-0.15656650998685534,-0.17575465991816772,0.019188149931312376
680,2,2,4,3,theta,theta_out,0,0.4967289003411176,0.4940740660382474,0.0026548343028702237
681,2,2,4,3,theta,theta_out,1,0.4727474722014999,0.4576125130309115,0.01513495917058838
682,2,2,4,3,theta,theta_out,2,0.5676219291687847,0.5597295269754993,0.007892402193285464
683,2,2,4,3,theta,theta_out,3,0.26486662194260396,0.2431026707118196,0.021763951230784367
679,2,3,1,0,theta,theta_out,0,0.41492963297657576,0.41647541366305246,-0.0015457806864767054
678,2,3,1,1,theta,theta_out,0,0.8803587525812795,0.8674516469102177,0.012907105671061792
677,2,3,1,2,theta,theta_out,0,-0.4153002190815681,-0.42072273634163515,0.005422517260067039
676,2,3,1,3,theta,theta_out,0,-0.4302136799594696,-0.4308412010674997,0.0006275211080301046
674,2,3,2,0,theta,theta_out,0,1.4477097439079831,1.4167643489685509,0.03094539493943227
675,2,3,2,0,theta,theta_out,1,0.48297177533929453,0.45191452034197055,0.03105725499732398
672,2,3,2,1,theta,theta_out,0,0.4013783059902429,-0.13903936923247645,0.5404176752227193
673,2,3,2,1,theta,theta_out,1,-0.2264345734609094,-0.6540139682035007,0.42757939474259127
670,2,3,2,2,theta,theta_out,0,0.655905795107836,0.6623594634681317,-0.006453668360295706
671,2,3,2,2,theta,theta_out,1,0.8784638564038053,0.8838998763429373,-0.0054360199391320085
668,2,3,2,3,theta,theta_out,0,-0.015647592016258215,-0.004087371600696722,-0.011560220415561494
669,2,3,2,3,theta,theta_out,1,0.5120927701931309,0.49786402184749107,0.014228748345639863
665,2,3,3,0,theta,theta_out,0,-0.020179173517346327,-0.003136950398166924,-0.017042223119179405
666,2,3,3,0,theta,theta_out,1,-0.21672449755206585,-0.2246782296734886,0.007953732121422752
667,2,3,3,0,theta,theta_out,2,-0.045185928908412894,-0.03295914371146903,-0.012226785196943861
662,2,3,3,1,theta,theta_out,0,0.14852773982190676,0.3958106372703805,-0.24728289744847376
663,2,3,3,1,theta,theta_out,1,0.5586646352304758,0.7011377179049081,-0.14247308267443226
664,2,3,3,1,theta,theta_out,2,-0.310544751720963,-0.11420798485952173,-0.1963367668614413
659,2,3,3,2,theta,theta_out,0,-0.10292971139475726,-0.2522357829516249,0.14930607155686765
660,2,3,3,2,theta,theta_out,1,-0.31365823542134535,-0.24194596464382603,-0.07171227077751932
661,2,3,3,2,theta,theta_out,2,0.08054534759699641,0.05975502733083309,0.02079032026616332
656,2,3,3,3,theta,theta_out,0,-0.19739413708084774,-0.18265117161968275,-0.014742965461164992
657,2,3,3,3,theta,theta_out,1,0.27201994089438164,0.25733115718768024,0.014688783706701403
658,2,3,3,3,theta,theta_out,2,0.6286503196109257,0.6381662622418618,-0.009515942630936136
652,2,3,4,0,theta,theta_out,0,0.1195906433053543,0.1088376671296635,0.010752976175690793
653,2,3,4,0,theta,theta_out,1,0.4595875509971438,0.47174559904290153,-0.012158048045757708
654,2,3,4,0,theta,theta_out,2,-0.1878959111091675,-0.1863842191823301,-0.001511691926837394
655,2,3,4,0,theta,theta_out,3,-0.3720849391672777,-0.3516246164773864,-0.020460322689891286
648,2,3,4,1,theta,theta_out,0,-0.41856070136406465,-0.3953929236095341,-0.02316777775453055
649,2,3,4,1,theta,theta_out,1,0.24666386822759634,0.24219789463679817,0.004465973590798172
650,2,3,4,1,theta,theta_out,2,-0.542910636958449,-0.535336790854236,-0.007573846104212967
651,2,3,4,1,theta,theta_out,3,0.5436254539201786,0.5316875424849793,0.011937911435199289
644,2,3,4,2,theta,theta_out,0,-0.7185290478582281,-0.6799360146281008,-0.038593033230127305
645,2,3,4,2,theta,theta_out,1,0.03930651673603491,-0.0016114414013106552,0.04091795813734557
646,2,3,4,2,theta,theta_out,2,0.32442532704062926,0.3461442241003222,-0.021718897059692932
647,2,3,4,2,theta,theta_out,3,-0.34177330961150193,-0.34945928584684427,0.00768597623534234
640,2,3,4,3,theta,theta_out,0,0.5688323007232226,0.5403563813687283,0.028475919354494228
641,2,3,4,3,theta,theta_out,1,0.5268318112549717,0.4643248698766055,0.06250694137836621
642,2,3,4,3,theta,theta_out,2,-0.09320516064944248,-0.13975027673857862,0.04654511608913614
643,2,3,4,3,theta,theta_out,3,-0.11677131333652842,-0.13995707716521058,0.023185763828682163
639,2,4,1,0,theta,theta_out,0,0.9927970280182609,0.9942568114656928,-0.0014597834474319171
638,2,4,1,1,theta,theta_out,0,0.925069848627828,0.9286748252638393,-0.0036049766360112256
637,2,4,1,2,theta,theta_out,0,0.9431145095379188,0.9422712898790907,0.0008432196588280538
636,2,4,1,3,theta,theta_out,0,0.6654992648926628,0.6775222162692295,-0.012022951376566726
634,2,4,2,0,theta,theta_out,0,-0.03908009232231209,0.05869230118271312,-0.0977723935050252
